Grand Prix,Driver,Car,Time,Name Code
Austria,James  Hunt ,McLaren Ford,1:35.910,HUN
Netherlands,Clay  Regazzoni ,Ferrari,1:22.590,REG
Italy,Ronnie  Peterson ,March Ford,1:41.300,PET
Canada,Patrick  Depailler ,Tyrrell Ford,1:13.817,DEP
USA East,James  Hunt ,McLaren Ford,1:42.851,HUN
Japan,Jacques  Laffite ,Ligier Matra,1:19.970,LAF
Argentina,James  Hunt ,McLaren Ford,1:51.060,HUN
Brazil,James  Hunt ,McLaren Ford,2:34.550,HUN
South Africa,John  Watson ,Brabham Alfa Romeo,1:17.630,WAT
USA West,Niki  Lauda ,Ferrari,1:22.753,LAU
Spain,Jacques  Laffite ,Ligier Matra,1:20.810,LAF
Monaco,Jody  Scheckter ,Wolf Ford,1:31.070,SCH
Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,NIL
Sweden,Mario  Andretti ,Lotus Ford,1:27.607,AND
France,Mario  Andretti ,Lotus Ford,1:13.750,AND
Great Britain,James  Hunt ,McLaren Ford,1:19.600,HUN
Germany,Niki  Lauda ,Ferrari,1:55.990,LAU
Austria,John  Watson ,Brabham Alfa Romeo,1:40.960,WAT
Netherlands,Niki  Lauda ,Ferrari,1:19.990,LAU
Italy,Mario  Andretti ,Lotus Ford,1:39.100,AND
USA East,Ronnie  Peterson ,Tyrrell Ford,1:51.854,PET
Canada,Mario  Andretti ,Lotus Ford,1:13.299,AND
Japan,Jody  Scheckter ,Wolf Ford,1:14.300,SCH
Argentina,Gilles  Villeneuve ,Ferrari,1:49.760,VIL
Brazil,Carlos  Reutemann ,Ferrari,1:43.070,REU
South Africa,Mario  Andretti ,Lotus Ford,1:17.090,AND
USA West,Alan Jones ,Williams Ford,1:22.215,JON
Monaco,Niki  Lauda ,Brabham Alfa Romeo,1:28.650,LAU
Belgium,Ronnie  Peterson ,Lotus Ford,1:23.130,PET
Spain,Mario  Andretti ,Lotus Ford,1:20.060,AND
Sweden,Niki  Lauda ,Brabham Alfa Romeo,1:24.836,LAU
France,Carlos  Reutemann ,Ferrari,1:48.560,REU
Great Britain,Niki  Lauda ,Brabham Alfa Romeo,1:18.600,LAU
Germany,Ronnie  Peterson ,Lotus Ford,1:55.620,PET
Austria,Ronnie  Peterson ,Lotus Ford,1:43.120,PET
Netherlands,Niki  Lauda ,Brabham Alfa Romeo,1:19.570,LAU
Italy,Mario  Andretti ,Lotus Ford,1:38.230,AND
USA East,Jean-Pierre  Jarier ,Lotus Ford,1:39.557,JAR
Canada,Alan Jones ,Williams Ford,1:38.072,JON
Argentina,Jacques  Laffite ,Ligier Ford,1:46.910,LAF
Brazil,Jacques  Laffite ,Ligier Ford,2:28.760,LAF
South Africa,Gilles  Villeneuve ,Ferrari,1:14.412,VIL
USA West,Gilles  Villeneuve ,Ferrari,1:21.200,VIL
Spain,Gilles  Villeneuve ,Ferrari,1:16.440,VIL
Belgium,Gilles  Villeneuve ,Ferrari,1:23.090,VIL
Monaco,Patrick  Depailler ,Ligier Ford,1:28.820,DEP
France,Rene  Arnoux ,Renault,1:09.160,ARN
Great Britain,Clay  Regazzoni ,Williams Ford,1:14.400,REG
Germany,Gilles  Villeneuve ,Ferrari,1:51.890,VIL
Austria,Rene  Arnoux ,Renault,1:35.770,ARN
Netherlands,Gilles  Villeneuve ,Ferrari,1:19.438,VIL
Italy,Clay  Regazzoni ,Williams Ford,1:35.600,REG
Canada,Alan Jones ,Williams Ford,1:31.272,JON
USA East,Nelson  Piquet ,Brabham Ford,1:40.054,PIQ
Argentina,Alan Jones ,Williams Ford,1:50.450,JON
Brazil,Rene  Arnoux ,Renault,2:27.310,ARN
South Africa,Rene  Arnoux ,Renault,1:13.150,ARN
USA West,Nelson  Piquet ,Brabham Ford,1:19.830,PIQ
Belgium,Jacques  Laffite ,Ligier Ford,1:20.880,LAF
Monaco,Carlos  Reutemann ,Williams Ford,1:27.418,REU
France,Alan Jones ,Williams Ford,1:41.450,JON
Great Britain,Didier  Pironi ,Ligier Ford,1:12.368,PIR
Germany,Alan Jones ,Williams Ford,1:48.490,JON
Austria,Rene  Arnoux ,Renault,1:32.530,ARN
Netherlands,Rene  Arnoux ,Renault,1:19.350,ARN
Italy,Alan Jones ,Williams Ford,1:36.089,JON
Canada,Didier  Pironi ,Ligier Ford,1:28.769,PIR
USA East,Alan Jones ,Williams Ford,1:34.068,JON
USA West,Alan Jones ,Williams Ford,1:20.901,JON
Brazil,Marc  Surer ,Ensign Ford,1:54.302,SUR
Argentina,Nelson  Piquet ,Brabham Ford,1:45.287,PIQ
San Marino,Gilles  Villeneuve ,Ferrari,1:48.064,VIL
Belgium,Carlos  Reutemann ,Williams Ford,1:23.300,REU
Monaco,Alan Jones ,Williams Ford,1:27.470,JON
Spain,Alan Jones ,Williams Ford,1:17.818,JON
France,Alain  Prost ,Renault,1:09.140,PRO
Great Britain,Rene  Arnoux ,Renault,1:15.067,ARN
Germany,Alan Jones ,Williams Ford,1:52.420,JON
Austria,Jacques  Laffite ,Ligier Matra,1:37.620,LAF
Netherlands,Alan Jones ,Williams Ford,1:21.830,JON
Italy,Carlos  Reutemann ,Williams Ford,1:37.528,REU
Canada,John  Watson ,McLaren Ford,1:49.475,WAT
Caesar's Palace,Didier  Pironi ,Ferrari,1:20.156,PIR
South Africa,Alain  Prost ,Renault,1:08.278,PRO
Brazil,Alain  Prost ,Renault,1:37.016,PRO
USA West,Niki  Lauda ,McLaren Ford,1:30.831,LAU
San Marino,Didier  Pironi ,Ferrari,1:35.036,PIR
Belgium,John  Watson ,McLaren Ford,1:20.214,WAT
Monaco,Riccardo  Patrese ,Brabham Ford,1:26.354,PAT
Detroit,Alain  Prost ,Renault,1:50.438,PRO
Canada,Didier  Pironi ,Ferrari,1:28.323,PIR
Netherlands,Derek  Warwick ,Toleman Hart,1:19.780,WAR
Great Britain,Brian  Henton ,Tyrrell Ford,1:13.028,HEN
France,Riccardo  Patrese ,Brabham Ford,1:40.075,PAT
Germany,Nelson  Piquet ,Brabham Ford,1:54.035,PIQ
Austria,Nelson  Piquet ,Brabham Ford,1:33.699,PIQ
Switzerland,Alain  Prost ,Renault,1:07.477,PRO
Italy,Rene  Arnoux ,Renault,1:33.619,ARN
Caesar's Palace,Michele  Alboreto ,Tyrrell Ford,1:19.639,ALB
Brazil,Nelson  Piquet ,Brabham BMW,1:39.829,PIQ
USA West,Niki  Lauda ,McLaren TAG,1:28.330,LAU
France,Alain  Prost ,Renault,1:42.695,PRO
San Marino,Riccardo  Patrese ,Brabham BMW,1:34.437,PAT
Monaco,Nelson  Piquet ,Brabham BMW,1:27.283,PIQ
Belgium,Andrea  de Cesaris ,Alfa Romeo,2:07.493,DEC
Detroit,John  Watson ,McLaren TAG,1:47.668,WAT
Canada,Patrick  Tambay ,Ferrari,1:30.851,TAM
Great Britain,Alain  Prost ,Renault,1:14.212,PRO
Germany,Rene  Arnoux ,Ferrari,1:53.938,ARN
Austria,Alain  Prost ,Renault,1:33.961,PRO
Netherlands,Rene  Arnoux ,Ferrari,1:19.863,ARN
Italy,Nelson  Piquet ,Brabham BMW,1:34.431,PIQ
Europe,Nigel  Mansell ,Lotus Ford,1:14.342,MAN
South Africa,Nelson  Piquet ,Brabham BMW,1:09.948,PIQ
Brazil,Alain  Prost ,McLaren TAG,1:36.499,PRO
South Africa,Patrick  Tambay ,Renault,1:08.877,TAM
Belgium,Rene  Arnoux ,Ferrari,1:19.294,ARN
San Marino,Nelson  Piquet ,Brabham BMW,1:33.275,PIQ
France,Alain  Prost ,McLaren TAG,1:05.257,PRO
Monaco,Ayrton  Senna ,Toleman Hart,1:54.334,SEN
Canada,Nelson  Piquet ,Brabham BMW,1:28.763,PIQ
Detroit,Derek  Warwick ,Renault,1:46.221,WAR
Dallas,Niki  Lauda ,McLaren TAG,1:45.353,LAU
Great Britain,Niki  Lauda ,McLaren TAG,1:13.191,LAU
Germany,Alain  Prost ,McLaren TAG,1:53.538,PRO
Austria,Niki  Lauda ,McLaren TAG,1:32.882,LAU
Netherlands,Rene  Arnoux ,Ferrari,1:19.465,ARN
Italy,Niki  Lauda ,McLaren TAG,1:31.912,LAU
Europe,Nelson  Piquet ,Brabham BMW,1:23.146,PIQ
Portugal,Niki  Lauda ,McLaren TAG,1:22.996,LAU
Brazil,Alain  Prost ,McLaren TAG,1:36.702,PRO
Portugal,Ayrton  Senna ,Lotus Renault,1:44.121,SEN
San Marino,Michele  Alboreto ,Ferrari,1:30.961,ALB
Monaco,Michele  Alboreto ,Ferrari,1:22.637,ALB
Canada,Ayrton  Senna ,Lotus Renault,1:27.445,SEN
Detroit,Ayrton  Senna ,Lotus Renault,1:45.612,SEN
France,Keke  Rosberg ,Williams Honda,1:39.914,ROS
Great Britain,Alain  Prost ,McLaren TAG,1:09.886,PRO
Germany,Niki  Lauda ,McLaren TAG,1:22.806,LAU
Austria,Alain  Prost ,McLaren TAG,1:29.241,PRO
Netherlands,Alain  Prost ,McLaren TAG,1:16.538,PRO
Italy,Nigel  Mansell ,Williams Honda,1:28.283,MAN
Belgium,Alain  Prost ,McLaren TAG,2:01.730,PRO
Europe,Jacques  Laffite ,Ligier Renault,1:11.526,LAF
South Africa,Keke  Rosberg ,Williams Honda,1:08.149,ROS
Australia,Keke  Rosberg ,Williams Honda,1:23.758,ROS
Brazil,Nelson  Piquet ,Williams Honda,1:33.546,PIQ
Spain,Nigel  Mansell ,Williams Honda,1:27.176,MAN
San Marino,Nelson  Piquet ,Williams Honda,1:28.667,PIQ
Monaco,Alain  Prost ,McLaren TAG,1:26.607,PRO
Belgium,Alain  Prost ,McLaren TAG,1:59.282,PRO
Canada,Nelson  Piquet ,Williams Honda,1:25.443,PIQ
Detroit,Nelson  Piquet ,Williams Honda,1:41.233,PIQ
France,Nigel  Mansell ,Williams Honda,1:09.993,MAN
Great Britain,Nigel  Mansell ,Williams Honda,1:09.593,MAN
Germany,Gerhard  Berger ,Benetton BMW,1:46.604,BER
Hungary,Nelson  Piquet ,Williams Honda,1:31.001,PIQ
Austria,Gerhard  Berger ,Benetton BMW,1:29.444,BER
Italy,Teo  Fabi ,Benetton BMW,1:28.099,FAB
Portugal,Nigel  Mansell ,Williams Honda,1:20.943,MAN
Mexico,Nelson  Piquet ,Williams Honda,1:19.360,PIQ
Australia,Nelson  Piquet ,Williams Honda,1:20.787,PIQ
Brazil,Nelson  Piquet ,Williams Honda,1:33.861,PIQ
San Marino,Teo  Fabi ,Benetton Ford,1:29.246,FAB
Belgium,Alain  Prost ,McLaren TAG,1:57.153,PRO
Monaco,Ayrton  Senna ,Lotus Honda,1:27.685,SEN
Detroit,Ayrton  Senna ,Lotus Honda,1:40.464,SEN
France,Nelson  Piquet ,Williams Honda,1:09.548,PIQ
Great Britain,Nigel  Mansell ,Williams Honda,1:09.832,MAN
Germany,Nigel  Mansell ,Williams Honda,1:45.716,MAN
Hungary,Nelson  Piquet ,Williams Honda,1:30.149,PIQ
Austria,Nigel  Mansell ,Williams Honda,1:28.318,MAN
Italy,Ayrton  Senna ,Lotus Honda,1:26.796,SEN
Portugal,Gerhard  Berger ,Ferrari,1:19.282,BER
Spain,Gerhard  Berger ,Ferrari,1:26.986,BER
Mexico,Nelson  Piquet ,Williams Honda,1:19.132,PIQ
Japan,Alain  Prost ,McLaren TAG,1:43.844,PRO
Australia,Gerhard  Berger ,Ferrari,1:20.416,BER
Brazil,Gerhard  Berger ,Ferrari,1:32.943,BER
San Marino,Alain  Prost ,McLaren Honda,1:29.685,PRO
Monaco,Ayrton  Senna ,McLaren Honda,1:26.321,SEN
Mexico,Alain  Prost ,McLaren Honda,1:18.608,PRO
Canada,Ayrton  Senna ,McLaren Honda,1:24.973,SEN
Detroit,Alain  Prost ,McLaren Honda,1:44.836,PRO
France,Alain  Prost ,McLaren Honda,1:11.737,PRO
Great Britain,Nigel  Mansell ,Williams Judd,1:23.308,MAN
Germany,Alessandro  Nannini ,Benetton Ford,2:03.032,NAN
Hungary,Alain  Prost ,McLaren Honda,1:30.639,PRO
Belgium,Gerhard  Berger ,Ferrari,2:00.772,BER
Italy,Michele  Alboreto ,Ferrari,1:29.070,ALB
Portugal,Gerhard  Berger ,Ferrari,1:21.961,BER
Spain,Alain  Prost ,McLaren Honda,1:27.845,PRO
Japan,Ayrton  Senna ,McLaren Honda,1:46.326,SEN
Australia,Alain  Prost ,McLaren Honda,1:21.216,PRO
Brazil,Riccardo  Patrese ,Williams Renault,1:32.507,PAT
San Marino,Alain  Prost ,McLaren Honda,1:26.795,PRO
Monaco,Alain  Prost ,McLaren Honda,1:25.501,PRO
Mexico,Nigel  Mansell ,Ferrari,1:20.420,MAN
United States,Ayrton  Senna ,McLaren Honda,1:33.969,SEN
Canada,Jonathan Palmer ,Tyrrell Ford,1:31.925,PAL
France,Mauricio  Gugelmin ,March Judd,1:12.090,GUG
Great Britain,Nigel  Mansell ,Ferrari,1:12.017,MAN
Germany,Ayrton  Senna ,McLaren Honda,1:45.884,SEN
Hungary,Nigel  Mansell ,Ferrari,1:22.637,MAN
Belgium,Alain  Prost ,McLaren Honda,2:11.571,PRO
Italy,Alain  Prost ,McLaren Honda,1:28.107,PRO
Portugal,Gerhard  Berger ,Ferrari,1:18.986,BER
Spain,Ayrton  Senna ,McLaren Honda,1:25.779,SEN
Japan,Alain  Prost ,McLaren Honda,1:43.506,PRO
Australia,Satoru  Nakajima ,Lotus Judd,1:38.480,NAK
United States,Gerhard  Berger ,McLaren Honda,1:31.050,BER
Brazil,Gerhard  Berger ,McLaren Honda,1:19.899,BER
San Marino,Alessandro  Nannini ,Benetton Ford,1:27.156,NAN
Monaco,Ayrton  Senna ,McLaren Honda,1:24.468,SEN
Canada,Gerhard  Berger ,McLaren Honda,1:22.077,BER
Mexico,Alain  Prost ,Ferrari,1:17.958,PRO
France,Nigel  Mansell ,Ferrari,1:08.012,MAN
Great Britain,Nigel  Mansell ,Ferrari,1:11.291,MAN
Germany,Thierry  Boutsen ,Williams Renault,1:45.602,BOU
Hungary,Riccardo  Patrese ,Williams Renault,1:22.058,PAT
Belgium,Alain  Prost ,Ferrari,1:55.087,PRO
Italy,Ayrton  Senna ,McLaren Honda,1:26.254,SEN
Portugal,Riccardo  Patrese ,Williams Renault,1:18.306,PAT
Spain,Riccardo  Patrese ,Williams Renault,1:24.513,PAT
Japan,Riccardo  Patrese ,Williams Renault,1:44.233,PAT
Australia,Nigel  Mansell ,Ferrari,1:18.203,MAN
United States,Jean  Alesi ,Ferrari,1:26.758,ALE
Brazil,Nigel  Mansell ,Williams Renault,1:20.436,MAN
San Marino,Gerhard  Berger ,McLaren Honda,1:26.531,BER
Monaco,Alain  Prost ,Ferrari,1:24.368,PRO
Canada,Nigel  Mansell ,Williams Renault,1:22.385,MAN
Mexico,Nigel  Mansell ,Williams Renault,1:16.788,MAN
France,Nigel  Mansell ,Williams Renault,1:19.168,MAN
Great Britain,Nigel  Mansell ,Williams Renault,1:26.379,MAN
Germany,Riccardo  Patrese ,Williams Renault,1:43.569,PAT
Hungary,Bertrand  Gachot ,Jordan Ford,1:21.547,GAC
Belgium,Roberto  Moreno ,Benetton Ford,1:55.161,MOR
Italy,Ayrton  Senna ,McLaren Honda,1:26.061,SEN
Portugal,Nigel  Mansell ,Williams Renault,1:18.179,MAN
Spain,Riccardo  Patrese ,Williams Renault,1:22.837,PAT
Japan,Ayrton  Senna ,McLaren Honda,1:41.532,SEN
Australia,Gerhard  Berger ,McLaren Honda,1:41.141,BER
South Africa,Nigel  Mansell ,Williams Renault,1:17.578,MAN
Mexico,Gerhard  Berger ,McLaren Honda,1:17.711,BER
Brazil,Riccardo  Patrese ,Williams Renault,1:19.490,PAT
Spain,Nigel  Mansell ,Williams Renault,1:42.503,MAN
San Marino,Riccardo  Patrese ,Williams Renault,1:26.100,PAT
Monaco,Nigel  Mansell ,Williams Renault,1:21.598,MAN
Canada,Gerhard  Berger ,McLaren Honda,1:22.325,BER
France,Nigel  Mansell ,Williams Renault,1:17.070,MAN
Great Britain,Nigel  Mansell ,Williams Renault,1:22.539,MAN
Germany,Riccardo  Patrese ,Williams Renault,1:41.591,PAT
Hungary,Nigel  Mansell ,Williams Renault,1:18.308,MAN
Belgium,Michael  Schumacher ,Benetton Ford,1:53.791,MSC
Italy,Nigel  Mansell ,Williams Renault,1:26.119,MAN
Portugal,Ayrton  Senna ,McLaren Honda,1:16.272,SEN
Japan,Nigel  Mansell ,Williams Renault,1:40.646,MAN
Australia,Michael  Schumacher ,Benetton Ford,1:16.078,MSC
South Africa,Alain  Prost ,Williams Renault,1:19.492,PRO
Brazil,Michael  Schumacher ,Benetton Ford,1:20.024,MSC
Europe,Ayrton  Senna ,McLaren Ford,1:18.029,SEN
San Marino,Alain  Prost ,Williams Renault,1:26.128,PRO
Spain,Michael  Schumacher ,Benetton Ford,1:20.989,MSC
Monaco,Alain  Prost ,Williams Renault,1:23.604,PRO
Canada,Michael  Schumacher ,Benetton Ford,1:21.500,MSC
France,Michael  Schumacher ,Benetton Ford,1:19.256,MSC
Great Britain,Damon  Hill ,Williams Renault,1:22.515,HIL
Germany,Michael  Schumacher ,Benetton Ford,1:41.859,MSC
Hungary,Alain  Prost ,Williams Renault,1:19.633,PRO
Belgium,Alain  Prost ,Williams Renault,1:51.095,PRO
Italy,Damon  Hill ,Williams Renault,1:23.575,HIL
Portugal,Damon  Hill ,Williams Renault,1:14.859,HIL
Japan,Alain  Prost ,Williams Renault,1:41.176,PRO
Australia,Damon  Hill ,Williams Renault,1:15.381,HIL
Brazil,Michael  Schumacher ,Benetton Ford,1:18.455,MSC
Pacific,Michael  Schumacher ,Benetton Ford,1:14.023,MSC
San Marino,Damon  Hill ,Williams Renault,1:24.335,HIL
Monaco,Michael  Schumacher ,Benetton Ford,1:21.076,MSC
Spain,Michael  Schumacher ,Benetton Ford,1:25.155,MSC
Canada,Michael  Schumacher ,Benetton Ford,1:28.927,MSC
France,Damon  Hill ,Williams Renault,1:19.678,HIL
Great Britain,Damon  Hill ,Williams Renault,1:27.100,HIL
Germany,David  Coulthard ,Williams Renault,1:46.211,COU
Hungary,Michael  Schumacher ,Benetton Ford,1:20.881,MSC
Belgium,Damon  Hill ,Williams Renault,1:57.117,HIL
Italy,Damon  Hill ,Williams Renault,1:25.930,HIL
Portugal,David  Coulthard ,Williams Renault,1:22.446,COU
Europe,Michael  Schumacher ,Benetton Ford,1:25.040,MSC
Japan,Damon  Hill ,Williams Renault,1:56.597,HIL
Australia,Michael  Schumacher ,Benetton Ford,1:17.140,MSC
Brazil,Michael  Schumacher ,Benetton Renault,1:20.921,MSC
Argentina,Michael  Schumacher ,Benetton Renault,1:30.522,MSC
San Marino,Gerhard  Berger ,Ferrari,1:29.568,BER
Spain,Damon  Hill ,Williams Renault,1:24.531,HIL
Monaco,Jean  Alesi ,Ferrari,1:24.621,ALE
Canada,Michael  Schumacher ,Benetton Renault,1:29.174,MSC
France,Michael  Schumacher ,Benetton Renault,1:20.218,MSC
Great Britain,Damon  Hill ,Williams Renault,1:29.752,HIL
Germany,Michael  Schumacher ,Benetton Renault,1:48.824,MSC
Hungary,Damon  Hill ,Williams Renault,1:20.247,HIL
Belgium,David  Coulthard ,Williams Renault,1:53.412,COU
Italy,Gerhard  Berger ,Ferrari,1:26.419,BER
Portugal,David  Coulthard ,Williams Renault,1:23.220,COU
Europe,Michael  Schumacher ,Benetton Renault,1:21.180,MSC
Pacific,Michael  Schumacher ,Benetton Renault,1:16.374,MSC
Japan,Michael  Schumacher ,Benetton Renault,1:42.976,MSC
Australia,Damon  Hill ,Williams Renault,1:17.943,HIL
Australia,Jacques  Villeneuve ,Williams Renault,1:33.421,VIL
Brazil,Damon  Hill ,Williams Renault,1:21.547,HIL
Argentina,Jean  Alesi ,Benetton Renault,1:29.413,ALE
Europe,Damon  Hill ,Williams Renault,1:21.363,HIL
San Marino,Damon  Hill ,Williams Renault,1:28.931,HIL
Monaco,Jean  Alesi ,Benetton Renault,1:25.205,ALE
Spain,Michael  Schumacher ,Ferrari,1:45.517,MSC
Canada,Jacques  Villeneuve ,Williams Renault,1:21.916,VIL
France,Jacques  Villeneuve ,Williams Renault,1:18.610,VIL
Great Britain,Jacques  Villeneuve ,Williams Renault,1:29.288,VIL
Germany,Damon  Hill ,Williams Renault,1:46.504,HIL
Hungary,Damon  Hill ,Williams Renault,1:20.093,HIL
Belgium,Gerhard  Berger ,Benetton Renault,1:53.067,BER
Italy,Michael  Schumacher ,Ferrari,1:26.110,MSC
Portugal,Jacques  Villeneuve ,Williams Renault,1:22.873,VIL
Japan,Jacques  Villeneuve ,Williams Renault,1:44.043,VIL
Australia,Heinz-Harald  Frentzen ,Williams Renault,1:30.585,FRE
Brazil,Jacques  Villeneuve ,Williams Renault,1:18.397,VIL
Argentina,Gerhard  Berger ,Benetton Renault,1:27.981,BER
San Marino,Heinz-Harald  Frentzen ,Williams Renault,1:25.531,FRE
Monaco,Michael  Schumacher ,Ferrari,1:53.315,MSC
Spain,Giancarlo  Fisichella ,Jordan Peugeot,1:22.242,FIS
Canada,David  Coulthard ,McLaren Mercedes,1:19.635,COU
France,Michael  Schumacher ,Ferrari,1:17.910,MSC
Great Britain,Michael  Schumacher ,Ferrari,1:24.475,MSC
Germany,Gerhard  Berger ,Benetton Renault,1:45.747,BER
Hungary,Heinz-Harald  Frentzen ,Williams Renault,1:18.372,FRE
Belgium,Jacques  Villeneuve ,Williams Renault,1:52.692,VIL
Italy,Mika  Hakkinen ,McLaren Mercedes,1:24.808,HAK
Austria,Jacques  Villeneuve ,Williams Renault,1:11.814,VIL
Luxembourg,Heinz-Harald  Frentzen ,Williams Renault,1:18.805,FRE
Japan,Heinz-Harald  Frentzen ,Williams Renault,1:38.942,FRE
Europe,Heinz-Harald  Frentzen ,Williams Renault,1:23.135,FRE
Australia,Mika  Hakkinen ,McLaren Mercedes,1:31.649,HAK
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:19.337,HAK
Argentina,Alexander  Wurz ,Benetton Playlife,1:28.179,WUR
San Marino,Michael  Schumacher ,Ferrari,1:29.345,MSC
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.275,HAK
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.948,HAK
Canada,Michael  Schumacher ,Ferrari,1:19.379,MSC
France,David  Coulthard ,McLaren Mercedes,1:17.523,COU
Great Britain,Michael  Schumacher ,Ferrari,1:35.704,MSC
Austria,David  Coulthard ,McLaren Mercedes,1:12.878,COU
Germany,David  Coulthard ,McLaren Mercedes,1:46.116,COU
Hungary,Michael  Schumacher ,Ferrari,1:19.286,MSC
Belgium,Michael  Schumacher ,Ferrari,2:03.766,MSC
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.139,HAK
Luxembourg,Mika  Hakkinen ,McLaren Mercedes,1:20.450,HAK
Japan,Michael  Schumacher ,Ferrari,1:40.190,MSC
Australia,Michael  Schumacher ,Ferrari,1:32.112,MSC
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:18.448,HAK
San Marino,Michael  Schumacher ,Ferrari,1:28.547,MSC
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.259,HAK
Spain,Michael  Schumacher ,Ferrari,1:24.982,MSC
Canada,Eddie  Irvine ,Ferrari,1:20.382,IRV
France,David  Coulthard ,McLaren Mercedes,1:19.227,COU
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:28.309,HAK
Austria,Mika  Hakkinen ,McLaren Mercedes,1:12.107,HAK
Germany,David  Coulthard ,McLaren Mercedes,1:45.270,COU
Hungary,David  Coulthard ,McLaren Mercedes,1:20.699,COU
Belgium,Mika  Hakkinen ,McLaren Mercedes,1:53.955,HAK
Italy,Ralf  Schumacher ,Williams Supertec,1:25.579,RSC
Europe,Mika  Hakkinen ,McLaren Mercedes,1:21.282,HAK
Malaysia,Heinz-Harald  Frentzen ,Jordan Mugen Honda,1:40.631,FRE
Japan,Michael  Schumacher ,Ferrari,1:41.319,MSC
Australia,Rubens  Barrichello ,Ferrari,1:31.481,BAR
Brazil,Michael  Schumacher ,Ferrari,1:14.755,MSC
San Marino,Mika  Hakkinen ,McLaren Mercedes,1:26.523,HAK
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:26.217,HAK
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.470,HAK
Europe,Michael  Schumacher ,Ferrari,1:22.269,MSC
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:21.571,HAK
Canada,Mika  Hakkinen ,McLaren Mercedes,1:19.049,HAK
France,David  Coulthard ,McLaren Mercedes,1:19.479,COU
Austria,David  Coulthard ,McLaren Mercedes,1:11.783,COU
Germany,Rubens  Barrichello ,Ferrari,1:44.300,BAR
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:20.028,HAK
Belgium,Rubens  Barrichello ,Ferrari,1:53.803,BAR
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.595,HAK
United States,David  Coulthard ,McLaren Mercedes,1:14.711,COU
Japan,Mika  Hakkinen ,McLaren Mercedes,1:39.189,HAK
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:38.543,HAK
Australia,Michael  Schumacher ,Ferrari,1:28.214,MSC
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:40.962,HAK
Brazil,Ralf  Schumacher ,Williams BMW,1:15.693,RSC
San Marino,Ralf  Schumacher ,Williams BMW,1:25.524,RSC
Spain,Michael  Schumacher ,Ferrari,1:21.151,MSC
Austria,David  Coulthard ,McLaren Mercedes,1:10.843,COU
Monaco,David  Coulthard ,McLaren Mercedes,1:19.424,COU
Canada,Ralf  Schumacher ,Williams BMW,1:17.205,RSC
Europe,Juan Pablo  Montoya ,Williams BMW,1:18.354,MOY
France,David  Coulthard ,McLaren Mercedes,1:16.088,COU
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:23.405,HAK
Germany,Juan Pablo  Montoya ,Williams BMW,1:41.808,MOY
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:16.723,HAK
Belgium,Michael  Schumacher ,Ferrari,1:49.758,MSC
Italy,Ralf  Schumacher ,Williams BMW,1:25.073,RSC
United States,Juan Pablo  Montoya ,Williams BMW,1:14.448,MOY
Japan,Ralf  Schumacher ,Williams BMW,1:36.944,RSC
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:28.541,RAI
Malaysia,Juan Pablo  Montoya ,Williams BMW,1:38.049,MOY
Brazil,Juan Pablo  Montoya ,Williams BMW,1:16.079,MOY
San Marino,Rubens  Barrichello ,Ferrari,1:24.170,BAR
Spain,Michael  Schumacher ,Ferrari,1:20.355,MSC
Austria,Michael  Schumacher ,Ferrari,1:09.298,MSC
Monaco,Rubens  Barrichello ,Ferrari,1:18.023,BAR
Canada,Juan Pablo  Montoya ,Williams BMW,1:15.960,MOY
Europe,Michael  Schumacher ,Ferrari,1:32.226,MSC
Great Britain,Rubens  Barrichello ,Ferrari,1:23.083,BAR
France,David  Coulthard ,McLaren Mercedes,1:15.045,COU
Germany,Michael  Schumacher ,Ferrari,1:16.462,MSC
Hungary,Michael  Schumacher ,Ferrari,1:16.207,MSC
Belgium,Michael  Schumacher ,Ferrari,1:47.176,MSC
Italy,Rubens  Barrichello ,Ferrari,1:23.657,BAR
United States,Rubens  Barrichello ,Ferrari,1:12.738,BAR
Japan,Michael  Schumacher ,Ferrari,1:36.125,MSC
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:27.724,RAI
Malaysia,Michael  Schumacher ,Ferrari,1:36.412,MSC
Brazil,Rubens  Barrichello ,Ferrari,1:22.032,BAR
San Marino,Michael  Schumacher ,Ferrari,1:22.491,MSC
Spain,Rubens  Barrichello ,Ferrari,1:20.143,BAR
